player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Samuel Womack III,65771,CB,NYJ,4,0,0,60.0,1,0,22,0,0,57.7,61.9,80.7,,75.3,82.8,0,0,0,0,18,0.0,0,1,1,111.7,6,0,0,7,117,67,127,1,0,0,1,0,0,126,0,60,2,5,11,0,10,0,1,63,21,10.5
Ty Hamilton,66298,DI,LA,14,8,0,,0,0,26,0,0,60.0,29.9,41.1,49.9,29.6,59.0,1,2,0,0,,7.1,1,0,1,0.0,0,0,0,0,0,0,138,138,1,103,15,19,0,0,68,70,0,2,5,0,0,3,0,0,0,
John Ridgeway,66694,DI,NO,4,4,0,,0,0,20,0,0,,42.7,79.8,51.4,44.7,54.1,1,1,0,0,,9.1,1,0,0,0.0,0,0,0,0,0,0,73,73,11,60,0,2,0,0,28,45,0,5,6,1,0,2,0,0,0,
Zyon McCollum,66769,CB,TB,13,3,0,57.1,0,1,30,0,0,61.9,63.9,86.5,51.4,69.9,64.8,0,0,0,1,54,10.4,7,6,1,94.1,40,0,0,53,648,495,766,6,0,0,6,0,3,760,4,267,55,20,57,1,70,0,5,446,112,11.2
Tristin McCollum,66771,S,LV,9,2,0,75.0,0,0,23,0,0,48.1,52.3,80.3,59.0,72.6,68.8,0,0,0,0,19,8.3,1,0,0,93.8,3,0,0,49,0,92,145,12,0,0,12,0,73,133,1,52,11,5,9,2,4,0,0,28,15,9.3
Josh Hayes,66798,CB,TB,1,0,0,,0,0,30,0,0,,59.9,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Kobie Turner,66894,DI,LA,17,13,3,0.0,0,0,26,1,0,59.5,83.2,58.6,84.6,70.8,29.2,7,40,0,1,,23.1,12,0,3,0.0,0,8,0,2,0,8,750,748,47,607,18,76,0,2,477,265,0,27,27,3,1,55,0,0,0,
Justin Watson,66915,WR,HST,1,0,0,,0,0,13,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Zach Sieler,66917,DI,MIA,17,11,1,100.0,0,0,17,1,0,58.0,60.7,60.1,54.0,69.1,48.3,4,23,0,0,7,12.8,6,0,3,95.8,1,5,0,0,0,12,780,780,15,478,103,184,0,0,471,297,0,23,30,6,1,32,0,7,1,7.0
Dennis Gardeck,66928,LB,JAX,17,8,0,90.0,0,1,15,0,0,40.0,55.4,66.3,66.9,62.7,72.3,5,15,0,0,32,8.1,3,2,4,115.0,18,3,0,63,0,141,423,330,0,1,329,0,0,93,127,155,30,15,26,4,20,23,0,232,153,12.9
Jonathan Owens,66930,S,CHI,10,0,0,100.0,1,0,6,0,0,50.4,48.6,79.3,51.3,60.6,77.8,0,0,0,0,15,0.0,0,0,1,112.5,4,0,0,5,1,34,47,16,0,0,16,0,17,31,8,5,8,0,3,0,4,0,0,44,24,11.0
Tavierre Thomas,66931,S,MIN,6,1,0,100.0,0,0,18,0,0,64.2,75.3,87.0,,71.7,81.8,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,5,0,5,19,1,0,0,1,0,11,18,0,14,1,0,2,0,1,0,0,6,3,6.0
